classId,method,bytecode
klass_ID1,public java.lang.String toString(),new dup invokespecial aload_0 invokespecial invokevirtual ldc invokevirtual aload_0 getfield invokevirtual invokevirtual ldc invokevirtual aload_0 invokespecial invokevirtual invokevirtual astore_1 aload_0 invokespecial invokeinterface ifeq aload_0 getfield ifeq new dup invokespecial aload_1 invokevirtual ldc invokevirtual invokevirtual astore_1 goto new dup invokespecial aload_1 invokevirtual ldc invokevirtual invokevirtual astore_1 aload_1 areturn
klass_ID1,public void run(),aload_0 getfield ifne aload_0 iconst_0 putfield aload_0 iconst_0 putfield aload_0 invokespecial aload_0 invokespecial aload_0 invokespecial aload_0 invokespecial aload_0 invokevirtual return
klass_ID1,private boolean lambda$loadTravelers$3(Traveler),aload_1 invokevirtual invokevirtual aload_0 getfield invokevirtual invokevirtual ireturn
klass_ID1,private boolean lambda$loadTravelers$2(Traveler),aload_1 invokevirtual aload_0 getfield if_icmpeq iconst_1 goto iconst_0 ireturn
klass_ID1,private static boolean lambda$loadTravelers$1(Traveler),aload_0 invokevirtual ifnull iconst_1 goto iconst_0 ireturn
klass_ID1,private boolean lambda$unloadTravelers$0(Traveler),aload_1 invokevirtual aload_0 getfield if_acmpne iconst_1 goto iconst_0 ireturn
klass_ID2,"public Train.Train(System.SystemController, int, java.lang.String, int)",aload_0 invokespecial aload_0 iconst_0 putfield aload_0 iconst_0 putfield aload_0 iconst_0 putfield aload_0 new dup invokespecial putfield aload_0 iconst_0 putfield aload_0 bipush putfield aload_0 iconst_0 putfield aload_0 aload_1 invokespecial aload_0 iload_2 invokespecial aload_0 aload_3 invokespecial aload_0 iload invokespecial aload_0 iconst_0 invokevirtual return
klass_ID2,java.util.List<Station.Station> getExits(),aload_0 getfield areturn
klass_ID2,void setExits(java.util.List<Station.Station>),aload_0 aload_1 putfield return
klass_ID2,private void setController(System.SystemController),aload_0 aload_1 putfield return
klass_ID2,private void setID(int),aload_0 iload_1 putfield return
klass_ID2,void setHasElectricEngine(boolean),aload_0 iload_1 putfield return
klass_ID2,private void setCurrentStation(java.lang.String),aload_0 aload_0 getfield aload_1 invokevirtual putfield return
klass_ID2,private void setCurrentStation(Station.Station),aload_0 aload_1 putfield return
klass_ID2,private int getID(),aload_0 getfield ireturn
klass_ID2,private void setSeats(int),aload_0 iload_1 putfield return
klass_ID2,void setSchedule(Schedule.Schedule),aload_0 aload_1 putfield aload_0 aload_0 getfield invokevirtual invokeinterface invokestatic invokeinterface checkcast putfield getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual aload_0 getfield iconst_1 iadd invokevirtual ldc invokevirtual aload_0 getfield invokevirtual invokevirtual invokevirtual return
klass_ID2,public boolean hasElectricEngine(),aload_0 getfield ireturn
klass_ID2,public Station.Station getCurrentStation(),aload_0 getfield areturn
klass_ID2,private int getSeats(),aload_0 getfield ireturn
klass_ID2,private java.util.List<Passenger.Passenger> getPassengerList(),aload_0 getfield areturn
klass_ID2,private Schedule.Schedule getSchedule(),aload_0 getfield areturn
klass_ID2,private void findSchedule(),aload_0 getfield aload_0 invokevirtual astore_1 aload_1 ifnonnull getstatic new dup invokespecial ldc invokevirtual aload_0 getfield invokevirtual ldc invokevirtual invokevirtual invokevirtual aload_0 getfield invokevirtual dup astore_2 monitorenter aload_0 getfield invokevirtual invokevirtual goto astore_3 aload_3 invokevirtual aload_2 monitorexit goto astore aload_2 monitorexit aload athrow goto aload_0 aload_1 invokevirtual return table: to 66 76 83
klass_ID2,private void resetPassengersBoardingInfo(),aload_0 iconst_0 putfield aload_0 iconst_0 putfield return
klass_ID2,private void checkSchedule(),aload_0 invokespecial ifnonnull aload_0 invokespecial goto aload_0 getfield aload_0 getfield invokevirtual invokeinterface iconst_1 isub if_icmpne aload_0 dup getfield iconst_1 iadd putfield aload_0 getfield getfield ifne aload_0 getfield aload_0 getfield if_icmpge aload_0 iconst_0 putfield aload_0 invokespecial goto getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual aload_0 getfield invokevirtual ldc invokevirtual invokevirtual invokevirtual aload_0 iconst_1 putfield aload_0 aconst_null putfield return
klass_ID2,private void unloadPassengers(),aload_0 getfield invokeinterface ifle aload_0 getfield invokevirtual dup astore_1 monitorenter aload_0 getfield invokeinterface aload_0 invokedynamic invokeinterface invokestatic invokeinterface checkcast astore_2 aload_2 aload_0 invokedynamic invokeinterface aload_1 monitorexit goto astore_3 aload_1 monitorexit aload_3 athrow return table: to 68 74
klass_ID2,private void unboardPassenger(Passenger.Passenger),aload_0 getfield aload_1 invokeinterface pop aload_1 aload_0 getfield invokevirtual aload_0 dup getfield iconst_1 iadd putfield return
klass_ID2,private Passenger.Guardian checkForGuardian(),aload_0 getfield invokeinterface astore_1 aload_1 invokeinterface ifeq aload_1 invokeinterface checkcast astore_2 aload_2 instanceof ifeq aload_2 checkcast areturn goto aconst_null areturn
klass_ID2,private void loadPassengers(),aload_0 getfield ifnull aload_0 getfield invokevirtual dup astore_1 monitorenter aload_0 getfield invokevirtual invokeinterface invokedynamic invokeinterface aload_0 invokedynamic invokeinterface aload_0 invokedynamic invokeinterface aload_0 getfield aload_0 getfield invokeinterface isub i2l invokeinterface aload_0 invokedynamic invokeinterface aload_1 monitorexit goto astore_2 aload_1 monitorexit aload_2 athrow aload_0 invokespecial astore_1 aload_1 ifnull getstatic ldc invokevirtual aload_0 getfield aload_1 dup invokevirtual pop invokedynamic invokeinterface return table: to 94 100
klass_ID2,private void boardPassenger(Passenger.Passenger),aload_0 getfield aload_1 invokeinterface pop aload_1 aload_0 invokespecial aload_0 getfield invokevirtual aload_0 dup getfield iconst_1 iadd putfield return
klass_ID2,private void prepareForDriving(),aload_0 getfield ifnull aload_0 getfield invokevirtual aload_0 getfield iconst_1 iadd invokeinterface checkcast astore_1 aload_0 getfield aload_0 getfield aload_1 invokevirtual astore_2 aload_2 ifnull aload_0 aload_2 invokespecial istore_3 iload_3 ifeq aload_0 aload_1 aload_2 invokespecial return
klass_ID2,private boolean prepareRailroad(Railroad.Railroad),aload_1 ifnull aload_0 getfield aload_1 invokevirtual if_icmpeq aload_0 getfield ifne aload_1 dup astore_2 monitorenter aload_1 invokevirtual ifne getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual invokevirtual invokevirtual aload_1 invokevirtual goto astore_3 aload_3 invokevirtual aload_0 aload_1 invokespecial aload_2 monitorexit ireturn aload_1 aload_0 invokevirtual iconst_1 aload_2 monitorexit ireturn astore aload_2 monitorexit aload athrow getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual invokevirtual invokevirtual aload_0 getfield invokevirtual dup astore_2 monitorenter aload_0 getfield invokevirtual invokevirtual goto astore_3 aload_3 invokevirtual aload_2 monitorexit goto astore aload_2 monitorexit aload athrow iconst_0 ireturn iconst_0 ireturn table: to 70 85 94 99 155 165 172
klass_ID2,private void freeRailroad(Railroad.Railroad),aload_1 dup astore_2 monitorenter aload_1 aload_0 invokevirtual aload_1 invokevirtual aload_2 monitorexit goto astore_3 aload_2 monitorexit aload_3 athrow return table: to 15 21
klass_ID2,"private void drive(Station.Station, Railroad.Railroad)",aload_0 getfield aload_1 invokevirtual istore_3 getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual aload_0 getfield invokevirtual ldc invokevirtual aload_1 invokevirtual ldc invokevirtual iload_3 invokevirtual ldc invokevirtual ldc invokevirtual aload_0 getfield invokevirtual ldc invokevirtual aload_0 getfield invokevirtual invokevirtual invokevirtual iload_3 i2l invokestatic goto astore aload invokevirtual aload_0 dup getfield iconst_1 iadd putfield aload_0 aload_1 putfield aload_0 aload_2 invokespecial return table: to 101
klass_ID2,private boolean checkForExit(),aload_0 getfield ifnull aload_0 getfield invokeinterface astore_1 aload_1 invokeinterface ifeq aload_1 invokeinterface checkcast astore_2 aload_2 aload_0 getfield if_acmpne iconst_1 ireturn goto iconst_0 ireturn
klass_ID2,private void removeCurrentStationFromExits(),aload_0 getfield aload_0 getfield invokeinterface ifeq aload_0 getfield aload_0 getfield invokeinterface pop return
klass_ID2,public java.lang.String toString(),new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual aload_0 getfield invokevirtual invokevirtual ldc invokevirtual aload_0 invokespecial invokevirtual invokevirtual astore_1 aload_0 invokespecial invokeinterface ifeq aload_0 getfield ifeq new dup invokespecial aload_1 invokevirtual ldc invokevirtual invokevirtual astore_1 goto new dup invokespecial aload_1 invokevirtual ldc invokevirtual invokevirtual astore_1 aload_1 areturn
